PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
2	PERSON	Andrew Lang			edit	4.95	4.1	6.64	Edited by Andrew Lang
4	PERSON	BILLY TREMAYNE	miles;master			5.72	4.4	4.17	MASTER BILLY TREMAYNE MILES
10	PERSON	M. Charles Marelles	golden;hood;regard;sillies;permission;la;pied;piper;drakestail;version;editor;privilege;tradition;friend	little;same	reproduce;thank;have	5.93	3.85285714286	5.79	The Editor has to thank his friend, M. Charles Marelles, for permission to reproduce his versions of the "Pied Piper," of "Drakestail," and of "Little Golden Hood" from the French, and M. Henri Carnoy for the same privilege in regard to "The Six Sillies" from La Tradition.
10	PERSON	M. Henri Carnoy	golden;hood;regard;sillies;permission;la;pied;piper;drakestail;version;editor;privilege;tradition;friend	little;same	reproduce;thank;have	5.93	3.85285714286	5.79	The Editor has to thank his friend, M. Charles Marelles, for permission to reproduce his versions of the "Pied Piper," of "Drakestail," and of "Little Golden Hood" from the French, and M. Henri Carnoy for the same privilege in regard to "The Six Sillies" from La Tradition.
11	PERSON	Lady Frances Balfour	publication;s;elder;beanstalk;version;mr.	old	copy;have;permit	5.44538461538	3.68923076923	5.05076923077	Lady Frances Balfour has kindly copied an old version of "Jack and the Beanstalk," and Messrs. Smith and Elder have permitted the publication of two of Mr. Ralston"s versions from the Russian.
11	PERSON	Jack	publication;s;elder;beanstalk;version;mr.	old	copy;have;permit	5.44538461538	3.68923076923	5.05076923077	Lady Frances Balfour has kindly copied an old version of "Jack and the Beanstalk," and Messrs. Smith and Elder have permitted the publication of two of Mr. Ralston"s versions from the Russian.
11	PERSON	Messrs. Smith	publication;s;elder;beanstalk;version;mr.	old	copy;have;permit	5.44538461538	3.68923076923	5.05076923077	Lady Frances Balfour has kindly copied an old version of "Jack and the Beanstalk," and Messrs. Smith and Elder have permitted the publication of two of Mr. Ralston"s versions from the Russian.
11	PERSON	Ralston	publication;s;elder;beanstalk;version;mr.	old	copy;have;permit	5.44538461538	3.68923076923	5.05076923077	Lady Frances Balfour has kindly copied an old version of "Jack and the Beanstalk," and Messrs. Smith and Elder have permitted the publication of two of Mr. Ralston"s versions from the Russian.
17	PERSON	Princess Mayblossom				7.64	5.42	5.74	The Princess Mayblossom
18	LOCATION	Soria Moria Castle				6.42	4.72	6.35	Soria Moria Castle
19	LOCATION	Koschei	death	deathless		1.89	5.53	3.42	The Death of Koschei the Deathless
20	PERSON	Knight	thief	black		3.86	4.815	4.31	The Black Thief and Knight of the Glen
20	PERSON	Glen	thief	black		3.86	4.815	4.31	The Black Thief and Knight of the Glen
23	PERSON	Princess Rosette				7.64	5.42	5.74	Princess Rosette
27	PERSON	Jack				5.0	5.0	5.0	Jack and the Beanstalk
27	LOCATION	Beanstalk				5.0	5.0	5.0	Jack and the Beanstalk
29	PERSON	Graciosa				5.0	5.0	5.0	Graciosa and Percinet
29	PERSON	Percinet				5.0	5.0	5.0	Graciosa and Percinet
30	LOCATION	Whiteland	princess			6.535	4.4	5.595	The Three Princesses of Whiteland
33	PERSON	Kari Woodengown				5.0	5.0	5.0	Kari Woodengown
39	PERSON	Dapplegrim				5.0	5.0	5.0	Dapplegrim
45	PERSON	Mother Holle				7.53	4.73	6.11	Mother Holle
46	PERSON	Minnikin				5.0	5.0	5.0	Minnikin
48	PERSON	Snowdrop				5.0	5.0	5.0	Snowdrop
52	PERSON	Sigurd	story			7.27	3.52	5.33	The Story of Sigurd
57	PERSON	Michael	head;name;cow;air;common;nothing;pasture	real;gaping	go;be;seek;call;drive	6.15933333333	3.85	5.57733333333	His real name was Michael, but he was always called the Star Gazer, because when he drove his cows over the commons to seek for pasture, he went along with his head in the air, gaping at nothing.
58	PERSON	Michael	nothing;way		answer;go;look;turn	5.94	3.80166666667	5.635	and Michael would answer, "Oh, nothing," and go on his way without even turning to look at them.
59	LOCATION	the fire	lace;hand;flame;companion;nothing;world;girl;silk;princess;happiness;neck	small;white;finest;common;everyday	be;dream;marry;fancy;see;hear;have;call;dress;round	6.29875	4.195625	5.6290625	He had heard that somewhere in the world there were girls whose necks were white and whose hands were small, who were always dressed in the finest silks and laces, and were called princesses, and while his companions round the fire saw nothing in the flames but common everyday fancies, he dreamed that he had the happiness to marry a princess.
61	LOCATION	the castle	cloth;robe;lady;princess;gold	beautiful	appear;dress;marry;say;sleep;go;dream	6.33833333333	4.51111111111	5.69444444444	And while he slept he dreamt that there appeared before him a beautiful lady, dressed in a robe of cloth of gold, who said to him: "Go to the castle of Beloeil, and there you shall marry a princess."
61	LOCATION	Beloeil	cloth;robe;lady;princess;gold	beautiful	appear;dress;marry;say;sleep;go;dream	6.33833333333	4.51111111111	5.69444444444	And while he slept he dreamt that there appeared before him a beautiful lady, dressed in a robe of cloth of gold, who said to him: "Go to the castle of Beloeil, and there you shall marry a princess."
63	PERSON	The lady	princess;time		go;say;marry;appear	6.01916666667	4.3875	5.56666666667	The lady appeared to him a second time, and said: "Go to the castle of Beloeil, and you shall marry a princess."
63	LOCATION	the castle	princess;time		go;say;marry;appear	6.01916666667	4.3875	5.56666666667	The lady appeared to him a second time, and said: "Go to the castle of Beloeil, and you shall marry a princess."
63	LOCATION	Beloeil	princess;time		go;say;marry;appear	6.01916666667	4.3875	5.56666666667	The lady appeared to him a second time, and said: "Go to the castle of Beloeil, and you shall marry a princess."
64	PERSON	the lady	time		do;tell;mind;think;appear	5.55538461538	4.07538461538	5.48769230769	"Never mind," he thought to himself; "if the lady appears to me a third time, I will do as she tells me."
65	LOCATION	the village	voice;singing;astonishment;o;clock	great	be;hear	6.05166666667	3.78166666667	5.59	The following day, to the great astonishment of all the village, about two o"clock in the afternoon a voice was heard singing:
68	PERSON	The farmer	good-bye;fortune;friend;bundle;clothes		be;begin;set;make;scold;go;say;answer;seek	5.833125	4.050625	5.74	The farmer began to scold him furiously, but he answered quietly, "I am going away," made his clothes into a bundle, said good-bye to all his friends, and boldly set out to seek his fortunes.
69	LOCATION	the village	star;stick;people;top;bundle;excitement;gazer;laughing;end;side;hill	great	be;hold;watch;stand;trudge	5.9525	3.89625	5.80625	There was great excitement through all the village, and on the top of the hill the people stood holding their sides with laughing, as they watched the Star Gazer trudging bravely along the valley with his bundle at the end of his stick.
69	LOCATION	the valley	star;stick;people;top;bundle;excitement;gazer;laughing;end;side;hill	great	be;hold;watch;stand;trudge	5.9525	3.89625	5.80625	There was great excitement through all the village, and on the top of the hill the people stood holding their sides with laughing, as they watched the Star Gazer trudging bravely along the valley with his bundle at the end of his stick.
72	LOCATION	the castle	beauty;presence;bed;princess;mile;blood;mattress;pea	beautiful;full;proud;royal;sensitive;wonderful;such	be;feel;live;know;have;round;lay	6.206	3.95866666667	5.75133333333	It was well known for full twenty miles round that there lived in the castle of Beloeil twelve princesses of wonderful beauty, and as proud as they were beautiful, and who were besides so very sensitive and of such truly royal blood, that they would have felt at once the presence of a pea in their beds, even if the mattresses had been laid over it.
72	LOCATION	Beloeil	beauty;presence;bed;princess;mile;blood;mattress;pea	beautiful;full;proud;royal;sensitive;wonderful;such	be;feel;live;know;have;round;lay	6.206	3.95866666667	5.75133333333	It was well known for full twenty miles round that there lived in the castle of Beloeil twelve princesses of wonderful beauty, and as proud as they were beautiful, and who were besides so very sensitive and of such truly royal blood, that they would have felt at once the presence of a pea in their beds, even if the mattresses had been laid over it.
74	LOCATION	the room	noise;shoe		be;do;answer;hear;wear;have;ask	5.80941176471	3.57941176471	5.65176470588	When they were asked what they had been doing all night, they always answered that they had been asleep; and, indeed, no noise was ever heard in the room, yet the shoes could not wear themselves out alone!
75	PERSON	Beloeil	duke;daughter;wife;proclamation;shoe;trumpet	last	sound;be;make;discover;wear;order;choose	6.075	3.97625	5.844375	At last the Duke of Beloeil ordered the trumpet to be sounded, and a proclamation to be made that whoever could discover how his daughters wore out their shoes should choose one of them for his wife.
78	LOCATION	the garden	boy;curl;princess;gardener;face	golden;pretty;sturdy	be;look;do;please;send;think;take;have;happen;agree	6.4025	3.985	5.9545	Now it happened that the garden boy had just been sent away, and though the Star Gazer did not look very sturdy, the gardener agreed to take him, as he thought that his pretty face and golden curls would please the princesses.
79	PERSON	Michael	bouquet;thing;nothing;princess	unpleasant;more	do;be;get;tell;have;think	5.98117647059	3.94941176471	5.58823529412	The first thing he was told was that when the princesses got up he was to present each one with a bouquet, and Michael thought that if he had nothing more unpleasant to do than that he should get on very well.
81	LOCATION	the castle	account;impudence	afraid	do;be;jeer;turn;come;dare	5.244	4.073	5.205	Unhappily he did not dare to come forward, being afraid that he should only be jeered at, or even turned away from the castle on account of his impudence.
85	PERSON	the lady	order		be;obey;have;give	6.27166666667	3.81	5.63333333333	So he carefully obeyed the orders he had been given by the lady.
86	PERSON	Michael	laurel;flower;button-hole	white	gather;appear;stick	6.06	4.03857142857	5.88285714286	Then there instantly appeared on the laurel a pretty white flower, which Michael gathered and stuck into his button-hole.
93	PERSON	Michael	princess;staircase	secret	follow;disappear	5.34833333333	4.32833333333	5.33666666667	All the princesses disappeared down a secret staircase, and Michael hastily followed them.
94	LOCATION	the steps	dress		be;tread;follow	5.78833333333	4.01666666667	5.69333333333	As he was following on the steps of the Princess Lina, he carelessly trod on her dress.
94	PERSON	Princess Lina	dress		be;tread;follow	5.78833333333	4.01666666667	5.69333333333	As he was following on the steps of the Princess Lina, he carelessly trod on her dress.
95	PERSON	Princess	dress;somebody		be;hold;cry	5.81285714286	4.61714285714	5.23	"There is somebody behind me," cried the Princess; "they are holding my dress."
98	PERSON	Princess	leaf;light;drop;moon;wood;silver	brilliant;little;lovely;eldest	shine;be;open;find;spangle	6.45866666667	4.21733333333	5.94066666667	The eldest Princess opened it, and they found themselves immediately in a lovely little wood, where the leaves were spangled with drops of silver which shone in the brilliant light of the moon.
100	LOCATION	the shores	star;lake;princess;gazer;oar;awning;prince;boat	large;little;last	grasp;be;await;perceive;seat	5.96777777778	3.90166666667	5.53444444444	At last the Star Gazer perceived a large lake, and on the shores of the lake twelve little boats with awnings, in which were seated twelve princes, who, grasping their oars, awaited the princesses.
100	LOCATION	the lake	star;lake;princess;gazer;oar;awning;prince;boat	large;little;last	grasp;be;await;perceive;seat	5.96777777778	3.90166666667	5.53444444444	At last the Star Gazer perceived a large lake, and on the shores of the lake twelve little boats with awnings, in which were seated twelve princes, who, grasping their oars, awaited the princesses.
101	PERSON	Princess	reason		go;be;say	6.455	4.10166666667	6.0	"We never went so slowly before," said the Princess; "what can be the reason?"
